group,id,company,title,location,date_posted,discovered_at,source,status,fit_score,base_variant,flags,jd_quality,url,fit_rationale
A,3340,NVIDIA,Applied Systems Engineering Rotation Engineer New Grad,"Santa Clara, CA",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Applied-Systems-Engineering-Rotation-Engineer---New-College-Graduate-2026_JR2024713,
A,3337,Dimensional Fund Advisors,Researcher - Fixed Income,"Austin, TX",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://dimensional.wd5.myworkdayjobs.com/dfa_careers/job/Austin/Researcher--Fixed-Income-_2026-9044,
A,3331,Motorola,Applied AI Engineer 1 - Supply Chain,"Chicago, IL",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://motorolasolutions.wd5.myworkdayjobs.com/Careers/job/Chicago-IL/Applied-AI-Engineer-I---Supply-Chain_R67371,
A,3323,Omnicom Group,Experience Design Analyst - Design Engineering,"Houston, TX; Chicago, IL; NYC; Denver, CO; Atlanta, GA; Addison, TX",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://interpublic.wd5.myworkdayjobs.com/omc/job/Addison-Texas-United-States-of-America/Credera-Experience-Design-Analyst--Design-Engineering-_R14049,
A,3322,KLA,Product Development Engineer,"Ann Arbor, MI",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://kla.wd1.myworkdayjobs.com/UR/job/Ann-Arbor-MI/Product-Development-Engineer_2640391,
A,3315,Clearwater Analytics,Associate Software Development Engineer,"Boise, ID",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://clearwateranalytics.wd1.myworkdayjobs.com/Clearwater_Analytics_Careers/job/Office---Boise/Associate-Software-Development-Engineer_R12179,
A,3309,Gunvor,Quantitative Analysis Graduate,"Houston, TX",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://gunvor.wd3.myworkdayjobs.com/Gunvor_Careers/job/Houston/Graduate-Program---Quantitative-Analysis_JR102791-1,
A,3308,Expedia Group,Software Development Engineer 1,"Seattle, WA",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://expedia.wd108.myworkdayjobs.com/private/job/Washington---Seattle-Campus/Software-Development-Engineer-I_R-108739-2,
A,3289,Paramount Global,Data Scientist,"Burbank, CA; NYC",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown"", ""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://careers.paramount.com/job/Burbank-Data-Scientist-CA-91505/1425617500/?ats=successfactors,
A,3288,Valon,Software Engineer New Grad,SF; NYC,2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown"", ""start_date_unknown""]",ats,https://jobs.ashbyhq.com/Valon/e08ad09a-4408-4210-8c1b-da6510f83324/application?embed=true,
A,3287,Apple,Cellular Layer-1 Control Software Development Engineer - Wireless Technologies & Ecosystems,"Sunnyvale, CA",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://jobs.apple.com/en-us/details/200681316,
A,3286,Major League Baseball,International Scouting Associate,"Boston, MA",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred""]",ats,https://jobs.lever.co/redsox/a1a2b37d-27db-4b91-a0ac-4a47c0cae5aa/apply,
A,3284,DaVita,Clinical Data Analyst - Clinical Analytics and Reporting,"Denver, CO",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://davita.wd1.myworkdayjobs.com/DKC_External/job/09567---Denver-HQ-Non-CA-or-CO-Remote/Data-Analyst--Clinical-Analytics-and-Reporting_R0472175,
A,3283,KLA,Software Engineer,"Milpitas, CA",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://kla.wd1.myworkdayjobs.com/UR/job/Milpitas-CA/Software-Engineer_2640196,
A,3277,InterSystems,Software Engineer Rotational Program - Early Career,"Boston, MA",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,,ats,https://job-boards.greenhouse.io/intersystems/jobs/7827894003,
A,3272,Vermeer,Embedded Software Engineer 1 - Engineering Development Program,"Pella, IA",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://vermeer.wd5.myworkdayjobs.com/externalcareersite/job/Pella-Iowa-USA---Plant-7--West-Segment-Office/Engineer-I---Embedded-Software-Engineer--Engineering-Development-Program-2027-_REQ-22180,
